transientid,ML_PROB_FRB
0.296746_DM_56.80_beam_0C2020_03_30_04:06:21.fil.hdf5,1.0
0.304711_DM_238.23_beam_0C2020_04_11_21:32:27.fil.hdf5,1.0
0.304867_DM_56.80_beam_0C2020_03_30_03:57:57.fil.hdf5,1.0
0.306553_DM_61.40_beam_6C2020_02_02_08:03:52.fil.hdf5,0.0018741676
0.308851_DM_75.83_beam_0C2020_04_07_06:05:23.fil.hdf5,1.0
0.31543_DM_34.38_beam_10C2020_04_14_02:29:25.fil.hdf5,0.0002818357
0.316714_DM_376.69_beam_0I2020_01_12_23:37:27.fil.hdf5,3.6124238e-06
0.318488_DM_156.88_beam_0C2020_04_12_01:28:54.fil.hdf5,0.9999908
0.320484_DM_163.63_beam_0C2020_04_19_17:48:14.fil.hdf5,1.0
0.320542_DM_52.19_beam_1C2020_02_04_02:46:19.fil.hdf5,9.028159e-14
0.320791_DM_55.26_beam_8C2020_02_02_08:03:52.fil.hdf5,1.3491334e-05
0.323295_DM_315.29_beam_0I2020_01_12_23:56:25.fil.hdf5,0.00016432954
0.323388_DM_2475.99_beam_273C2020_01_02_15:27:13.fil.hdf5,0.24277844
0.324926_DM_46.05_beam_0I2020_04_13_01:05:24.fil.hdf5,5.5968737e-11
0.325031_DM_49.12_beam_0C2020_03_28_15:24:16.fil.hdf5,0.38793316
0.325227_DM_465.44_beam_2C2020_02_02_04:32:08_1.fil.hdf5,1.5842843e-11
0.333806_DM_464.79_beam_11C2020_02_02_04:32:08.fil.hdf5,5.9762953e-13
0.352796_DM_2654.34_beam_532C2020_04_13_00:54:01.fil.hdf5,2.7651333e-17
0.354664_DM_961.05_beam_10C2020_05_30_10:21:16.fil.hdf5,0.043479685
0.354688_DM_77.06_beam_0I2020_01_12_23:33:26.fil.hdf5,3.4671586e-08
0.363359_DM_45.74_beam_2C2020_03_23_03:07:49.fil.hdf5,8.8794325e-17
0.364486_DM_177.75_beam_0I2020_01_12_23:36:39.fil.hdf5,9.1271323e-07
0.366572_DM_501.30_beam_0C2020_03_15_20:13:09.fil.hdf5,1.0
0.368719_DM_3021.10_beam_26C2019_12_18_08:44:19.fil.hdf5,3.3646543e-08
0.370858_DM_29.16_beam_0C2020_04_13_09:27:12.fil.hdf5,1.0
0.371779_DM_75.83_beam_0C2020_02_27_23:54:14.fil.hdf5,1.0
0.372239_DM_352.74_beam_0I2020_01_12_23:55:03.fil.hdf5,0.000519543
0.37392_DM_23.02_beam_0C2020_04_13_08:28:35.fil.hdf5,1.0
0.376221_DM_207.84_beam_0C2020_03_15_23:13:44.fil.hdf5,1.7743085e-05
0.376525_DM_89.34_beam_0I2020_01_12_23:54:01.fil.hdf5,2.680632e-07
0.377295_DM_87.19_beam_0C2020_04_07_02:13:49.fil.hdf5,1.0
0.378513_DM_175.30_beam_0C2020_03_23_03:19:17.fil.hdf5,1.0
0.378979_DM_174.99_beam_0C2020_04_19_19:30:22.fil.hdf5,0.86736476
0.019602_DM_633.00_beam_1C2020_02_14_04:58:13.fil.hdf5,4.0458535e-17
0.019602_DM_639.52_beam_8C2020_02_14_04:58:13.fil.hdf5,3.1142694e-10
0.019604_DM_143.06_beam_5C2020_02_02_11:55:53.fil.hdf5,2.1939722e-14
0.019604_DM_953.46_beam_485C2020_05_31_19:47:03.fil.hdf5,2.6600874e-08
0.020215_DM_634.96_beam_9C2020_02_14_04:58:13.fil.hdf5,2.5305284e-16
0.020823_DM_404.80_beam_11C2020_02_14_04:34:59.fil.hdf5,4.9343296e-10
0.020823_DM_407.41_beam_9C2020_02_14_04:34:59.fil.hdf5,1.6333492e-12
0.022053_DM_102.23_beam_80C2020_04_12_03:33:21.fil.hdf5,0.19341467
0.0245_DM_141.83_beam_7C2020_02_03_00:02:49.fil.hdf5,3.3341685e-08
0.01776_DM_500.65_beam_0C2020_04_19_18:00:58.fil.hdf5,7.4512015e-11
0.001744_DM_77.67_beam_0I2020_01_12_23:45:29.fil.hdf5,8.3167095e-08
0.004596_DM_174.68_beam_0C2020_04_19_19:29:57.fil.hdf5,0.9998241
0.005111_DM_163.63_beam_0I2020_01_12_23:56:33.fil.hdf5,0.00041984578
0.005202_DM_34.08_beam_602C2020_04_23_23:03:35.fil.hdf5,2.007726e-05
0.006127_DM_654.52_beam_8C2020_02_14_05:03:57.fil.hdf5,4.9109332e-17
0.009796_DM_285.20_beam_11C2020_03_31_00:06:52.fil.hdf5,1.638233e-05
0.009798_DM_303.62_beam_379C2020_01_12_22:22:58.fil.hdf5,3.4000567e-13
0.009798_DM_303.93_beam_430C2020_01_12_22:22:58.fil.hdf5,3.609447e-14
0.009798_DM_526.08_beam_373C2020_01_12_22:22:58.fil.hdf5,8.548099e-17
0.009798_DM_526.08_beam_424C2020_01_12_22:22:58.fil.hdf5,1.8694489e-17
0.0098_DM_31.01_beam_0C2020_04_19_19:53:51.fil.hdf5,1.2345927e-11
0.010104_DM_385.90_beam_0C2020_04_19_16:17:32.fil.hdf5,2.6946741e-12
0.01041_DM_360.42_beam_297C2020_04_13_07:10:29.fil.hdf5,5.4739286e-07
0.011023_DM_147.67_beam_1C2020_02_02_08:02:19.fil.hdf5,4.3399703e-10
0.011025_DM_381.33_beam_9C2020_03_31_02:07:38.fil.hdf5,1.0451043e-08
0.012858_DM_135.39_beam_255C2020_01_20_11:16:13.fil.hdf5,7.11629e-16
0.012863_DM_283.67_beam_6C2020_03_31_00:06:52.fil.hdf5,6.1981143e-07
0.012866_DM_143.98_beam_3C2020_02_14_05:03:57.fil.hdf5,1.018798e-11
0.013472_DM_148.90_beam_299C2020_01_20_11:16:13.fil.hdf5,3.0224196e-08
0.013472_DM_294.41_beam_4C2020_02_14_04:50:48.fil.hdf5,1.340904e-06
0.013472_DM_296.56_beam_0C2020_02_14_04:50:48.fil.hdf5,3.771815e-08
0.013476_DM_163.02_beam_0C2020_04_12_02:51:11.fil.hdf5,5.847053e-15
0.014085_DM_149.20_beam_295C2020_01_20_11:16:13.fil.hdf5,1.3540146e-07
0.014699_DM_206.00_beam_291C2020_01_20_11:16:13.fil.hdf5,4.904609e-08
0.014702_DM_252.97_beam_9C2020_02_02_09:13:17.fil.hdf5,6.5816916e-09
0.014702_DM_253.58_beam_6C2020_02_02_09:13:17.fil.hdf5,6.6333126e-09
0.014702_DM_254.50_beam_2C2020_02_02_09:13:17.fil.hdf5,6.253426e-08
0.015311_DM_139.99_beam_0C2020_02_14_05:03:57.fil.hdf5,6.8266344e-11
0.0245_DM_141.83_beam_9C2020_02_03_00:02:49.fil.hdf5,0.0010399697
0.026335_DM_569.11_beam_1C2020_02_02_04:09:09.fil.hdf5,1.1346593e-09
0.02695_DM_68.15_beam_4C2020_03_31_03:03:35.fil.hdf5,2.8395716e-08
0.391993_DM_771.88_beam_0C2020_03_20_00:10:33.fil.hdf5,5.7090054e-18
0.392048_DM_180.82_beam_0C2020_04_19_17:26:05.fil.hdf5,0.9999999
0.396491_DM_404.80_beam_5C2020_02_04_01:52:25_1.fil.hdf5,8.5357793e-10
0.400564_DM_123.72_beam_0C2020_04_19_16:23:03.fil.hdf5,4.836072e-07
0.401946_DM_235.78_beam_0I2020_01_12_23:35:06.fil.hdf5,9.467094e-07
0.408684_DM_239.15_beam_0C2020_04_19_17:36:06.fil.hdf5,0.99999154
0.409144_DM_81.05_beam_0C2020_04_19_16:19:42.fil.hdf5,1.0
0.414655_DM_85.04_beam_0C2020_04_19_18:54:42.fil.hdf5,1.0
0.425679_DM_168.54_beam_0C2020_03_23_03:04:33.fil.hdf5,1.0
0.426287_DM_51.27_beam_7C2020_02_04_03:53:12.fil.hdf5,4.441841e-09
0.427817_DM_75.83_beam_0C2020_03_15_23:08:28.fil.hdf5,1.0
0.429506_DM_42.98_beam_0I2020_05_24_23:19:50.fil.hdf5,8.344359e-06
0.434554_DM_192.18_beam_0C2020_04_14_01:41:58.fil.hdf5,1.0
0.436086_DM_1616.89_beam_10C2020_02_14_05:07:11.fil.hdf5,1.6283297e-05
0.436553_DM_238.23_beam_0C2020_04_11_21:31:22.fil.hdf5,0.999998
0.440376_DM_166.39_beam_0C2020_03_23_03:14:54.fil.hdf5,1.0
0.440989_DM_2009.32_beam_195C2020_05_31_18:22:00.fil.hdf5,8.431881e-05
0.440994_DM_350.59_beam_7C2020_02_14_05:15:53.fil.hdf5,1.2347619e-08
0.443345_DM_96.09_beam_0I2020_01_12_23:27:51.fil.hdf5,3.0453143e-06
0.449104_DM_43.29_beam_527C2020_04_23_23:09:00.fil.hdf5,0.010816122
0.44916_DM_296.56_beam_0I2020_01_12_23:31:48.fil.hdf5,2.3660408e-05
0.451245_DM_81.97_beam_0C2020_04_11_21:17:15.fil.hdf5,1.0
0.454001_DM_51.58_beam_7C2020_02_21_20:27:41.fil.hdf5,1.0439846e-08
0.458143_DM_164.25_beam_0C2020_03_23_03:05:47.fil.hdf5,1.0
0.459826_DM_111.44_beam_0I2020_01_12_23:35:30.fil.hdf5,8.268807e-05
0.459979_DM_402.85_beam_0C2020_02_02_11:30:01.fil.hdf5,1.0
0.461717_DM_69.69_beam_0I2020_01_12_23:20:01.fil.hdf5,2.5488528e-06
0.461721_DM_424.36_beam_35C2019_12_18_08:44:07.fil.hdf5,0.0020081792
0.464568_DM_52.19_beam_11C2020_02_02_04:24:07.fil.hdf5,0.00015292501
0.467175_DM_32.23_beam_0C2020_04_11_22:32:30.fil.hdf5,0.9783279
0.470236_DM_164.55_beam_0C2020_04_12_00:12:36.fil.hdf5,0.9999999
0.470693_DM_57.10_beam_0C2020_03_30_04:06:18.fil.hdf5,0.9999988
0.47131_DM_295.33_beam_0C2020_04_19_20:12:06.fil.hdf5,1.0
0.471771_DM_93.94_beam_0C2020_04_19_18:42:16.fil.hdf5,1.0
0.477957_DM_80.43_beam_0I2020_01_12_23:34:20.fil.hdf5,1.7833455e-06
0.478966_DM_162.71_beam_0C2020_03_23_03:08:47.fil.hdf5,1.0
0.479731_DM_75.83_beam_0C2020_02_27_23:55:44.fil.hdf5,1.0
0.480806_DM_21.80_beam_0C2020_04_13_09:53:12.fil.hdf5,3.3565636e-06
0.482238_DM_44.82_beam_0I2020_05_24_23:20:34.fil.hdf5,1.8790708e-07
0.48279_DM_177.14_beam_0C2020_04_13_07:59:23.fil.hdf5,1.0
0.485914_DM_216.44_beam_0I2020_01_12_23:44:12_1.fil.hdf5,8.961556e-06
0.486464_DM_163.63_beam_0C2020_04_12_00:05:45.fil.hdf5,1.0
0.490052_DM_30.39_beam_0C2020_04_11_22:14:06_1.fil.hdf5,1.0
0.49489_DM_93.94_beam_0C2020_04_19_19:45:16.fil.hdf5,0.99995923
0.498563_DM_163.02_beam_0C2020_04_12_00:06:34.fil.hdf5,1.0
0.499995_DM_105.61_beam_0C2020_04_14_04:25:46.fil.hdf5,0.9999981
0.499995_DM_128.94_beam_0C2020_04_19_18:32:03.fil.hdf5,1.0
0.499995_DM_143.68_beam_0C2020_03_15_15:42:51.fil.hdf5,1.0
0.499995_DM_146.13_beam_0C2020_04_19_19:27:43.fil.hdf5,1.0
0.499995_DM_152.58_beam_0I2020_04_13_02:10:45.fil.hdf5,2.3987746e-15
0.499995_DM_1533.28_beam_73C2020_05_31_19:52:42.fil.hdf5,2.4547968e-16
0.499995_DM_157.80_beam_0C2020_04_12_01:13:04.fil.hdf5,1.0
0.499995_DM_165.78_beam_0C2020_03_23_03:07:34.fil.hdf5,1.0
0.499995_DM_173.46_beam_0C2020_04_07_03:04:07.fil.hdf5,0.9999999
0.499995_DM_177.14_beam_0C2020_04_13_07:52:16.fil.hdf5,0.99999964
0.499995_DM_189.73_beam_116C2019_12_06_15:26:26.fil.hdf5,6.308317e-08
