transientid,ML_PROB_FRB
0.020823_DM_407.41_beam_9C2020_02_14_04:34:59.fil.hdf5,2.1944867e-05
0.022053_DM_102.23_beam_80C2020_04_12_03:33:21.fil.hdf5,0.00043402522
0.0245_DM_141.83_beam_7C2020_02_03_00:02:49.fil.hdf5,0.0056251977
0.01776_DM_500.65_beam_0C2020_04_19_18:00:58.fil.hdf5,0.00011153518
0.001744_DM_77.67_beam_0I2020_01_12_23:45:29.fil.hdf5,0.002259561
0.004596_DM_174.68_beam_0C2020_04_19_19:29:57.fil.hdf5,0.9999002
0.005111_DM_163.63_beam_0I2020_01_12_23:56:33.fil.hdf5,0.0021308907
0.005202_DM_34.08_beam_602C2020_04_23_23:03:35.fil.hdf5,0.00011969715
0.006127_DM_654.52_beam_8C2020_02_14_05:03:57.fil.hdf5,7.1712275e-06
0.009796_DM_285.20_beam_11C2020_03_31_00:06:52.fil.hdf5,7.6080636e-05
0.009798_DM_303.62_beam_379C2020_01_12_22:22:58.fil.hdf5,0.00014121112
0.009798_DM_303.93_beam_430C2020_01_12_22:22:58.fil.hdf5,3.9902327e-05
0.009798_DM_526.08_beam_373C2020_01_12_22:22:58.fil.hdf5,2.852338e-05
0.009798_DM_526.08_beam_424C2020_01_12_22:22:58.fil.hdf5,1.7990244e-05
0.0098_DM_31.01_beam_0C2020_04_19_19:53:51.fil.hdf5,9.722955e-07
0.010104_DM_385.90_beam_0C2020_04_19_16:17:32.fil.hdf5,0.00031763595
0.01041_DM_360.42_beam_297C2020_04_13_07:10:29.fil.hdf5,0.0020341063
0.011023_DM_147.67_beam_1C2020_02_02_08:02:19.fil.hdf5,8.8955894e-05
0.011025_DM_381.33_beam_9C2020_03_31_02:07:38.fil.hdf5,4.211849e-05
0.012858_DM_135.39_beam_255C2020_01_20_11:16:13.fil.hdf5,1.0969222e-05
0.012863_DM_283.67_beam_6C2020_03_31_00:06:52.fil.hdf5,0.00029299577
0.012866_DM_143.98_beam_3C2020_02_14_05:03:57.fil.hdf5,0.0001596759
0.013472_DM_148.90_beam_299C2020_01_20_11:16:13.fil.hdf5,0.003965849
0.013472_DM_294.41_beam_4C2020_02_14_04:50:48.fil.hdf5,0.0005824707
0.013472_DM_296.56_beam_0C2020_02_14_04:50:48.fil.hdf5,1.6208298e-05
0.013476_DM_163.02_beam_0C2020_04_12_02:51:11.fil.hdf5,5.027856e-06
0.014085_DM_149.20_beam_295C2020_01_20_11:16:13.fil.hdf5,0.000998014
0.014699_DM_206.00_beam_291C2020_01_20_11:16:13.fil.hdf5,0.009271062
0.014702_DM_252.97_beam_9C2020_02_02_09:13:17.fil.hdf5,0.00015383352
0.014702_DM_253.58_beam_6C2020_02_02_09:13:17.fil.hdf5,5.3890282e-05
0.014702_DM_254.50_beam_2C2020_02_02_09:13:17.fil.hdf5,4.1806354e-05
0.015311_DM_139.99_beam_0C2020_02_14_05:03:57.fil.hdf5,0.0015671335
0.0245_DM_141.83_beam_9C2020_02_03_00:02:49.fil.hdf5,0.0015898766
0.026335_DM_569.11_beam_1C2020_02_02_04:09:09.fil.hdf5,8.477051e-09
0.02695_DM_68.15_beam_4C2020_03_31_03:03:35.fil.hdf5,0.002359039
0.391993_DM_771.88_beam_0C2020_03_20_00:10:33.fil.hdf5,9.0557325e-05
0.392048_DM_180.82_beam_0C2020_04_19_17:26:05.fil.hdf5,1.0
0.396491_DM_404.80_beam_5C2020_02_04_01:52:25_1.fil.hdf5,0.00013519153
0.400564_DM_123.72_beam_0C2020_04_19_16:23:03.fil.hdf5,0.005444455
0.401946_DM_235.78_beam_0I2020_01_12_23:35:06.fil.hdf5,6.353073e-05
0.408684_DM_239.15_beam_0C2020_04_19_17:36:06.fil.hdf5,0.99999917
0.409144_DM_81.05_beam_0C2020_04_19_16:19:42.fil.hdf5,1.0
0.414655_DM_85.04_beam_0C2020_04_19_18:54:42.fil.hdf5,1.0
0.425679_DM_168.54_beam_0C2020_03_23_03:04:33.fil.hdf5,0.99982315
0.426287_DM_51.27_beam_7C2020_02_04_03:53:12.fil.hdf5,0.005613253
0.427817_DM_75.83_beam_0C2020_03_15_23:08:28.fil.hdf5,1.0
0.429506_DM_42.98_beam_0I2020_05_24_23:19:50.fil.hdf5,0.0036568565
0.434554_DM_192.18_beam_0C2020_04_14_01:41:58.fil.hdf5,1.0
0.436086_DM_1616.89_beam_10C2020_02_14_05:07:11.fil.hdf5,0.0007302573
0.436553_DM_238.23_beam_0C2020_04_11_21:31:22.fil.hdf5,0.99996436
0.440376_DM_166.39_beam_0C2020_03_23_03:14:54.fil.hdf5,0.9999993
0.440989_DM_2009.32_beam_195C2020_05_31_18:22:00.fil.hdf5,5.784445e-06
0.440994_DM_350.59_beam_7C2020_02_14_05:15:53.fil.hdf5,2.7033571e-05
0.443345_DM_96.09_beam_0I2020_01_12_23:27:51.fil.hdf5,0.038839024
0.449104_DM_43.29_beam_527C2020_04_23_23:09:00.fil.hdf5,0.030458162
0.44916_DM_296.56_beam_0I2020_01_12_23:31:48.fil.hdf5,0.0006942565
0.451245_DM_81.97_beam_0C2020_04_11_21:17:15.fil.hdf5,0.9999981
0.454001_DM_51.58_beam_7C2020_02_21_20:27:41.fil.hdf5,1.3354601e-08
0.458143_DM_164.25_beam_0C2020_03_23_03:05:47.fil.hdf5,1.0
0.459826_DM_111.44_beam_0I2020_01_12_23:35:30.fil.hdf5,0.0004981302
0.459979_DM_402.85_beam_0C2020_02_02_11:30:01.fil.hdf5,1.0
0.461717_DM_69.69_beam_0I2020_01_12_23:20:01.fil.hdf5,0.00015237599
0.461721_DM_424.36_beam_35C2019_12_18_08:44:07.fil.hdf5,0.0046416037
0.464568_DM_52.19_beam_11C2020_02_02_04:24:07.fil.hdf5,9.064235e-05
0.467175_DM_32.23_beam_0C2020_04_11_22:32:30.fil.hdf5,0.9141795
0.470236_DM_164.55_beam_0C2020_04_12_00:12:36.fil.hdf5,1.0
0.470693_DM_57.10_beam_0C2020_03_30_04:06:18.fil.hdf5,0.9998134
0.47131_DM_295.33_beam_0C2020_04_19_20:12:06.fil.hdf5,1.0
0.471771_DM_93.94_beam_0C2020_04_19_18:42:16.fil.hdf5,1.0
0.477957_DM_80.43_beam_0I2020_01_12_23:34:20.fil.hdf5,7.337628e-05
0.478966_DM_162.71_beam_0C2020_03_23_03:08:47.fil.hdf5,0.9999988
0.479731_DM_75.83_beam_0C2020_02_27_23:55:44.fil.hdf5,1.0
0.480806_DM_21.80_beam_0C2020_04_13_09:53:12.fil.hdf5,0.014250666
0.482238_DM_44.82_beam_0I2020_05_24_23:20:34.fil.hdf5,9.879631e-07
0.48279_DM_177.14_beam_0C2020_04_13_07:59:23.fil.hdf5,1.0
0.485914_DM_216.44_beam_0I2020_01_12_23:44:12_1.fil.hdf5,9.6082156e-05
0.486464_DM_163.63_beam_0C2020_04_12_00:05:45.fil.hdf5,1.0
0.490052_DM_30.39_beam_0C2020_04_11_22:14:06_1.fil.hdf5,1.0
0.49489_DM_93.94_beam_0C2020_04_19_19:45:16.fil.hdf5,0.99658525
0.498563_DM_163.02_beam_0C2020_04_12_00:06:34.fil.hdf5,1.0
0.499995_DM_105.61_beam_0C2020_04_14_04:25:46.fil.hdf5,0.99997675
0.499995_DM_128.94_beam_0C2020_04_19_18:32:03.fil.hdf5,1.0
0.499995_DM_143.68_beam_0C2020_03_15_15:42:51.fil.hdf5,1.0
0.499995_DM_146.13_beam_0C2020_04_19_19:27:43.fil.hdf5,1.0
0.499995_DM_152.58_beam_0I2020_04_13_02:10:45.fil.hdf5,1.4833926e-05
0.499995_DM_1533.28_beam_73C2020_05_31_19:52:42.fil.hdf5,1.030907e-05
0.499995_DM_157.80_beam_0C2020_04_12_01:13:04.fil.hdf5,1.0
0.499995_DM_165.78_beam_0C2020_03_23_03:07:34.fil.hdf5,1.0
0.499995_DM_173.46_beam_0C2020_04_07_03:04:07.fil.hdf5,0.9999995
0.499995_DM_177.14_beam_0C2020_04_13_07:52:16.fil.hdf5,0.9999331
0.499995_DM_189.73_beam_116C2019_12_06_15:26:26.fil.hdf5,2.7983656e-06
0.499995_DM_198.32_beam_0I2020_04_22_16:52:12.fil.hdf5,2.6314995e-08
0.499995_DM_203.54_beam_216C2019_12_06_15:26:26.fil.hdf5,4.5158226e-06
0.499995_DM_205.08_beam_0C2020_03_15_15:48:33.fil.hdf5,0.99999666
0.499995_DM_206.00_beam_0C2020_03_15_16:18:51.fil.hdf5,0.9999988
0.499995_DM_21.18_beam_0C2020_03_30_02:59:41.fil.hdf5,0.9632912
0.499995_DM_23.02_beam_0C2020_04_13_08:30:52.fil.hdf5,0.99999475
0.499995_DM_238.23_beam_0C2020_04_11_21:24:50.fil.hdf5,1.0
0.499995_DM_241.61_beam_0C2020_04_12_04:46:03.fil.hdf5,0.9856859
0.499995_DM_25.79_beam_0C2020_04_13_10:10:45.fil.hdf5,0.99988735
